k,w,tool,damage_level,read_length,subsampling_rate,mito_correct,mito_incorrect,mito_mapped,mito_unmapped,bacteria_mapped,bacteria_unmapped,numt_mapped,numt_unmapped,precision,sensitivity,specificity,f1,accuracy,TP,FP,TN,FN
18,8,vg giraffe,High,125,0.15,39334,59,39334,5503,0,14956,8,50,0.9997966549743277,0.8761136849607983,0.9994671639802851,0.9338778223604549,0.9070272074778835,39334,8,15006,5562
18,8,SAFARI,High,125,0.15,39396,59,39396,5441,0,14956,8,50,0.9997969749264034,0.8774946543121882,0.9994671639802851,0.9346619217081852,0.9080620931397095,39396,8,15006,5500
18,8,vg giraffe,High,125,0.1,26211,38,26211,3674,0,10014,7,30,0.9997330078571973,0.8759482672191959,0.9993035518853846,0.9337560784453428,0.9069645269425126,26211,7,10044,3712
18,8,SAFARI,High,125,0.1,26254,38,26254,3631,0,10014,7,30,0.9997334450325578,0.8773852889081977,0.9993035518853846,0.9345721201765627,0.9080402261469955,26254,7,10044,3669
18,8,vg giraffe,High,125,0.25,65573,103,65573,9204,0,24986,13,101,0.9998017869667307,0.8757077991452992,0.9994820717131474,0.9336494240599149,0.9067813562712542,65573,13,25087,9307
18,8,SAFARI,High,125,0.25,65692,103,65692,9085,0,24986,13,101,0.9998021459554067,0.8772970085470085,0.9994820717131474,0.9345520503609916,0.9079715943188638,65692,13,25087,9188
18,8,vg giraffe,High,125,0.2,52522,78,52522,7300,0,19910,11,71,0.9997906078084252,0.8768280467445743,0.9994497799119648,0.9342808606014249,0.9075126420667902,52522,11,19981,7378
18,8,SAFARI,High,125,0.2,52614,78,52614,7208,0,19910,11,71,0.999790973871734,0.8783639398998331,0.9994497799119648,0.9351521884025772,0.9086641966654985,52614,11,19981,7286
18,8,vg giraffe,High,125,0.35,91745,154,91745,12887,0,35010,16,133,0.9998256339839365,0.8755463516118566,0.9995449244859069,0.9335680524251198,0.9066990603451356,91745,16,35143,13041
18,8,SAFARI,High,125,0.35,91940,154,91940,12692,0,35010,16,133,0.9998260037409196,0.8774072872330273,0.9995449244859069,0.9346250419330899,0.9080924648969237,91940,16,35143,12846
18,8,vg giraffe,High,125,0.3,78480,123,78480,11053,0,29885,15,120,0.9998089050257978,0.8753457660390828,0.9995003331112592,0.933446723480681,0.9064891874728433,78480,15,30005,11176
18,8,SAFARI,High,125,0.3,78636,123,78636,10897,0,29885,15,120,0.9998092840523325,0.8770857499776925,0.9995003331112592,0.9344352878965225,0.9077927069755005,78636,15,30005,11020
18,8,vg giraffe,High,125,0.45,118252,197,118252,16696,0,45255,21,174,0.9998224446830638,0.8750009249324799,0.9995379537953796,0.9332565169009305,0.9063429220078075,118252,21,45429,16893
18,8,SAFARI,High,125,0.45,118494,197,118494,16454,0,45255,21,174,0.9998228072395899,0.8767915942136224,0.9995379537953796,0.9342742253410076,0.9076829369583875,118494,21,45429,16651
18,8,vg giraffe,High,125,0.4,104801,172,104801,14800,0,40042,19,148,0.9998187368822744,0.874996869077338,0.9995274689746076,0.9332525946935123,0.9062957082671801,104801,19,40190,14972
18,8,SAFARI,High,125,0.4,105018,172,105018,14583,0,40042,19,148,0.9998191113607586,0.8768086296577693,0.9995274689746076,0.9342822828166006,0.907652110862472,105018,19,40190,14755
18,8,vg giraffe,High,125,0.55,144547,237,144547,20420,0,55338,23,203,0.999840907518849,0.8749606547056972,0.9995860629184364,0.9332416535926191,0.9063270039136107,144547,23,55541,20657
18,8,SAFARI,High,125,0.55,144838,237,144838,20129,0,55338,23,203,0.999841227107365,0.8767221132660226,0.9995860629184364,0.9342428200538596,0.9076451297289462,144838,23,55541,20366
18,8,vg giraffe,High,125,0.5,131518,212,131518,18532,0,50381,22,186,0.9998327504941462,0.8752578828978718,0.9995651228527941,0.9334071440231084,0.9065675550532484,131518,22,50567,18744
18,8,SAFARI,High,125,0.5,131782,212,131782,18268,0,50381,22,186,0.9998330854905769,0.8770148141246623,0.9995651228527941,0.9344054228442988,0.9078819622506236,131782,22,50567,18480
18,8,vg giraffe,High,125,0.65,170970,280,170970,24171,0,65462,29,242,0.9998304083649612,0.8748803864477206,0.9995588212921972,0.9331914196823318,0.9062622054419998,170970,29,65704,24451
18,8,SAFARI,High,125,0.65,171317,280,171317,23824,0,65462,29,242,0.9998307518121229,0.8766560400366389,0.9995588212921972,0.9342007323450584,0.9075909233632263,171317,29,65704,24104
18,8,vg giraffe,High,125,0.6,157745,259,157745,22302,0,60358,26,223,0.9998352041883489,0.8748738256075782,0.9995710066493969,0.9331897762935663,0.9062441628305654,157745,26,60581,22561
18,8,SAFARI,High,125,0.6,158068,259,158068,21979,0,60358,26,223,0.9998355408807419,0.8766652246736104,0.9995710066493969,0.9342080378250591,0.907584895792257,158068,26,60581,22238
18,8,vg giraffe,High,125,0.75,197034,328,197034,27898,0,75413,31,276,0.9998426914977292,0.8746959069519666,0.9995905969360803,0.9330918131770556,0.9061166854940528,197034,31,75689,28226
18,8,SAFARI,High,125,0.75,197436,328,197436,27496,0,75413,31,276,0.9998430117437344,0.8764805114090385,0.9995905969360803,0.9341064091009091,0.9074523224134494,197436,31,75689,27824
